ObjectID,NAME,CNTY_FIPS,FIPS,POP2010,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP
124,Bayfield,007,55007,15014,13024,46,1435,48,1,158,29,431,7716,7298,664,753,873,833,481,1263,1587,2636,2812,1867,896,349
136,Douglas,031,55031,44159,41166,486,868,376,8,494,82,1173,22087,22072,2594,2560,2676,3006,3225,5572,5283,6897,5985,3399,2064,898
147,Ashland,003,55003,16157,13662,48,1791,59,4,302,56,537,8082,8075,1001,1014,1084,1136,1121,1856,1750,2490,2138,1307,851,409
159,Iron,051,55051,5916,5790,3,36,18,0,35,13,56,2959,2957,213,248,303,315,192,453,636,1024,1030,713,526,263
188,Washburn,129,55129,15911,15343,36,186,63,2,208,49,232,7924,7987,872,860,890,906,581,1468,1731,2583,2640,1919,1022,439
189,Sawyer,113,55113,16557,13123,77,2757,49,0,268,42,509,8393,8164,971,903,934,982,725,1457,1795,2656,2705,2033,1032,364
190,Burnett,013,55013,15457,14163,81,718,52,3,194,67,373,7806,7651,792,765,907,889,561,1288,1617,2450,2619,2138,1104,327
202,Price,099,55099,14159,13750,39,54,62,64,153,42,148,7180,6979,616,728,811,839,453,1191,1614,2575,2364,1549,989,430
226,Polk,095,55095,44205,42807,96,454,159,7,656,226,456,22177,22028,2714,2828,2920,2976,1901,4706,5598,7290,6208,3850,2216,998
233,Barron,005,55005,45870,44076,407,406,223,3,862,236,519,22814,23056,2737,2762,2832,2888,2341,5133,5288,7162,6379,4327,2759,1262
234,Rusk,107,55107,14755,14398,61,74,41,1,173,37,143,7371,7384,813,868,954,1004,575,1332,1658,2393,2194,1515,999,450
249,Taylor,119,55119,20689,20248,58,43,56,8,316,128,148,10559,10130,1359,1445,1367,1342,978,2213,2576,3510,2565,1657,1113,564
255,Chippewa,017,55017,62415,59504,982,310,774,14,800,182,649,32404,30011,4117,4024,4045,3914,3335,7883,8098,9965,8099,4664,2966,1305
263,St. Croix,109,55109,84345,80914,552,313,900,23,1692,483,1160,42218,42127,6166,6705,6396,5361,3924,11542,12640,13616,9527,4672,2637,1159
264,Dunn,033,55033,43857,41545,220,168,1143,15,626,228,538,22133,21724,2422,2497,2566,4186,5997,4983,4947,5897,5039,2754,1721,848
276,Clark,019,55019,34690,33338,80,174,127,8,1292,773,190,17577,17113,2913,2799,2772,2468,1816,3773,3891,4905,3940,2556,1887,970
298,Pierce,093,55093,41019,39614,232,151,301,7,623,201,513,20420,20599,2414,2535,2556,3836,4659,4710,5053,6247,4726,2363,1315,605
300,Eau Claire,035,55035,98736,91946,874,471,3297,31,1804,519,1598,48351,50385,5859,5674,5698,8284,12373,13131,10881,12918,11483,6222,4172,2041
318,Wood,141,55141,74749,71048,393,587,1319,9,1680,593,800,36777,37972,4482,4451,4848,4949,3913,8249,8973,12281,9841,6280,4305,2177
319,Pepin,091,55091,7469,7337,21,19,13,1,72,35,43,3780,3689,468,438,481,488,317,746,893,1199,1102,673,457,207
325,Buffalo,011,55011,13587,13253,37,38,28,0,237,122,109,6859,6728,775,789,896,866,629,1375,1644,2201,1953,1295,839,325
326,Trempealeau,121,55121,28816,27230,62,63,123,4,1667,1086,248,14638,14178,1885,1954,1938,1836,1346,3378,3756,4443,3713,2347,1444,776
327,Jackson,053,55053,20449,18258,400,1271,53,20,519,144,303,10874,9575,1252,1294,1277,1246,1067,2482,2638,3183,2707,1832,1044,427
355,Juneau,057,55057,26664,25077,557,398,115,7,687,188,322,14029,12635,1457,1548,1622,1601,1274,2978,3387,4447,3673,2612,1441,624
377,Monroe,081,55081,44673,41940,512,510,289,40,1661,764,618,22648,22025,3236,3230,3221,3023,2228,5321,5468,6939,5784,3311,2036,876
382,La Crosse,063,55063,114638,105540,1610,493,4742,28,1741,371,1854,55961,58677,6748,6562,6816,9547,12626,14774,13039,15821,13504,7490,5176,2535
421,Vernon,123,55123,29773,29085,109,61,92,7,394,145,274,14854,14919,2121,2257,2190,1987,1281,2965,3328,4707,3975,2528,1683,751
432,Richland,103,55103,18021,17540,82,46,95,4,360,119,135,9042,8979,1175,1184,1103,1253,862,1866,2021,2709,2603,1619,1087,539
455,Crawford,023,55023,16644,16080,296,39,63,3,150,36,127,8575,8069,948,1014,1046,1028,779,1743,1838,2651,2535,1679,962,421
472,Iowa,049,55049,23687,23127,87,36,129,5,336,102,201,11878,11809,1611,1675,1615,1441,1036,2655,3100,4021,3264,1702,1100,467
473,Grant,043,55043,51208,49655,588,103,312,5,649,221,324,26636,24572,2989,3025,2907,4741,5914,5384,5220,7067,5987,3917,2769,1288
517,Lafayette,065,55065,16836,16292,39,48,58,0,522,303,96,8582,8254,1189,1181,1178,1218,888,1807,1929,2735,2110,1320,950,331
2935,Vilas,125,55125,21430,18658,35,2370,61,1,268,45,260,10861,10569,956,1014,1062,1184,738,1639,2205,3461,3615,3124,1800,632
2940,Forest,041,55041,9304,7690,76,1256,13,11,138,32,226,4724,4580,500,548,577,707,520,867,1037,1368,1292,1017,659,212
2941,Florence,037,55037,4423,4306,10,31,13,1,37,14,48,2262,2161,187,200,218,250,157,362,497,871,750,553,272,106
2943,Oneida,085,55085,35998,34787,152,323,188,5,385,82,461,17993,18005,1682,1716,1851,2093,1580,3255,4068,6273,5680,4269,2586,945
2944,Marinette,075,55075,41749,40559,108,238,218,9,522,176,441,20758,20991,2096,2327,2508,2655,2181,4128,4540,6963,6097,4393,2584,1277
2948,Lincoln,069,55069,28743,27929,157,100,124,10,340,131,292,14412,14331,1471,1602,1870,1996,1169,2798,3576,5078,3914,2740,1740,789
2949,Langlade,067,55067,19977,19267,72,191,62,1,324,100,284,10032,9945,1030,1132,1224,1266,900,1961,2268,3330,2880,2112,1321,553
2950,Oconto,083,55083,37660,36418,73,467,111,5,519,198,388,19194,18466,2098,2278,2408,2483,1595,3789,4980,6685,5322,3445,1890,687
2952,Door,029,55029,27785,26839,144,162,112,4,671,249,275,13679,14106,1271,1304,1465,1583,1009,2530,2890,4607,4881,3400,2006,839
2958,Marathon,073,55073,134063,122446,841,634,7146,32,2992,1223,1741,67308,66755,8771,8886,9320,9305,7100,16363,17712,20965,16653,9675,6247,3066
2959,Menominee,078,55078,4232,451,19,3701,1,0,178,6,54,2098,2134,410,373,346,403,280,442,491,597,408,319,138,25
2960,Shawano,115,55115,41949,37254,143,3172,180,13,905,366,821,20921,21028,2443,2648,2725,2723,2013,4382,5285,6589,5461,4104,2482,1094
2968,Kewaunee,061,55061,20574,19955,69,77,60,5,463,219,189,10460,10114,1172,1383,1411,1307,951,2258,2632,3321,2746,1692,1090,611
2969,Portage,097,55097,70019,65981,383,265,1969,14,1853,546,861,34984,35035,3891,3974,4121,5860,8178,8431,7991,10180,8438,4723,2846,1386
2970,Waupaca,135,55135,52410,50916,154,258,194,6,1307,425,457,26447,25963,2914,3208,3424,3445,2350,5549,6435,8604,7019,4536,3182,1744
2971,Brown,009,55009,248007,214415,5491,6715,6724,104,17985,9155,5403,122658,125349,17167,17147,17123,17456,17407,33977,32878,37823,28240,15035,9490,4264
2972,Outagamie,087,55087,176695,161238,1736,2982,5229,65,6359,2728,2717,88130,88565,11702,12410,12440,12512,10703,23916,24195,28090,19893,10873,6925,3036
2980,Manitowoc,071,55071,81442,76402,442,450,2050,10,2565,1069,1019,40489,40953,4550,4874,5254,5484,4033,8884,9963,13589,11097,6794,4687,2233
2981,Adams,001,55001,20875,19409,633,205,82,4,783,266,276,11221,9654,849,889,1019,1059,840,2053,2374,3381,3512,2995,1481,423
2982,Waushara,137,55137,24496,23012,454,131,94,14,1329,509,282,12893,11603,1171,1345,1410,1425,1022,2520,2873,4099,3748,2689,1627,567
2983,Winnebago,139,55139,166994,154445,2975,1036,3822,58,5784,2188,2470,83952,83042,9866,9944,9972,12033,14187,21920,21429,25560,19747,11159,7576,3601
2984,Calumet,015,55015,48971,46187,246,203,1031,16,1690,705,583,24543,24428,3418,3827,3678,3389,2091,5895,7314,8108,5626,2977,1879,769
2994,Marquette,077,55077,15404,14920,77,86,68,0,391,126,127,7808,7596,801,808,911,850,691,1354,1695,2655,2393,1852,1054,340
2995,Green Lake,047,55047,19051,18428,88,52,86,5,743,268,124,9509,9542,1108,1267,1273,1134,817,1904,2151,3005,2740,1837,1251,564
2996,Fond du Lac,039,55039,101633,95674,1305,471,1148,21,4368,1700,1314,49926,51707,6003,6283,6553,7139,6298,12299,12867,15878,13088,7477,5198,2550
2997,Sheboygan,117,55117,115507,103861,1684,444,5310,35,6329,2297,1876,58010,57497,7156,7521,7956,7643,6198,13864,15056,18605,14687,8426,5657,2738
3006,Columbia,021,55021,56833,54468,717,277,301,29,1444,441,600,28935,27898,3411,3637,3854,3574,2652,6804,7751,9354,7502,4390,2754,1150
